Column1,speler_code,team_naam,meting,Staande.lengte,Zittende.lengte,Beenlengte,Zithoogte,Gewicht,Maturity.Offset,Balance.Beam.6cm,Balance.Beam.4.5cm,Balance.Beam.3cm,Balance.beam.totaal,Zijwaarts.springen.1,Zijwaarts.springen.2,Zijwaarts.springen.totaal,Zijwaarts.verplaatsen.1,Zijwaarts.verplaatsen.2,Zijwaarts.verplaatsen.totaal,Oog.hand.coordinatie.1,Oog.hand.coordinatie.2,Oog.hand.coordinatie.Totaal,X10.meter.sprint.1,X10.meter.sprint.2,X10.meter.sprint.beste,X20.meter.sprint.1,X20.meter.sprint.2,X20.meter.sprint.beste,X30.meter.sprint.1,X30.meter.sprint.2,X30.meter.sprint.beste,CoD.links.1,CoD.links.2,CoD.links.beste,CoD.rechts.1,CoD.rechts.2,CoD.rechts.beste,Vertesprong.1,Vertesprong.2,Vertesprong.beste,club_code,datum,geboortedatum
299,Cl9n7,Onder 17,1e meting,182.3,139.0,84.9,97.5,65.6,2.9,18.0,23.0,14.0,72.0,51.0,68.0,94.0,27.0,27.0,76.0,37.0,36.0,53.0,1.95,1.94,2.03,3.33,3.31,3.12,4.2,4.45,4.34,8.35,7.5,7.97,8.66,8.77,8.07,1.91,2.34,2.13,1X8m4,2017-10-05,2001-08-17
300,Cl9n7,Onder 17,2e meting,182.6,139.8,84.3,98.3,65.3,3.29,24.0,11.0,13.0,74.0,54.0,52.0,103.0,33.0,41.0,56.0,44.0,53.0,69.0,1.91,1.83,1.82,3.12,3.08,3.09,4.37,4.68,4.33,8.1,8.47,8.39,7.36,7.8,9.04,2.16,2.16,2.42,1X8m4,2018-04-05,2001-08-17
301,CnvfB,Onder 13,1e meting,180.5,132.5,89.5,91.0,58.8,-0.23,16.0,23.0,2.0,66.0,56.0,56.0,111.0,22.0,29.0,52.0,26.0,17.0,81.0,1.99,1.96,2.12,3.65,3.48,3.58,4.77,5.36,4.94,9.29,9.0,8.24,8.61,8.78,8.07,1.84,1.58,1.91,1X8m4,2013-10-05,2001-10-30
302,CnvfB,Onder 13,2e meting,182.2,134.4,89.3,92.9,62.5,0.28,24.0,6.0,15.0,59.0,48.0,50.0,93.0,16.0,31.0,38.0,31.0,25.0,43.0,1.98,2.06,2.07,3.61,3.38,3.18,4.83,4.89,4.47,8.66,8.7,8.83,8.78,8.6,8.68,1.69,1.71,1.65,1X8m4,2014-04-05,2001-10-30
303,CnvfB,Onder 14,1e meting,183.0,134.7,89.8,93.2,66.3,0.63,22.0,20.0,16.0,63.0,50.0,49.0,106.0,34.0,26.0,61.0,19.0,38.0,52.0,1.92,2.32,1.81,3.49,3.23,3.38,4.97,4.79,4.86,8.58,8.26,8.36,9.0,8.76,8.38,1.76,2.07,1.88,1X8m4,2014-10-05,2001-10-30
304,CnvfB,Onder 14,2e meting,183.5,136.1,88.9,94.6,66.0,1.05,21.0,19.0,8.0,71.0,50.0,47.0,92.0,35.0,38.0,69.0,24.0,37.0,78.0,2.03,2.15,1.96,3.35,3.33,3.36,4.89,4.61,4.53,9.08,7.96,8.87,8.67,8.25,9.22,2.03,1.63,2.11,1X8m4,2015-04-05,2001-10-30
305,CnvfB,Onder 15,1e meting,185.4,137.3,89.6,95.8,65.8,1.46,29.0,15.0,10.0,47.0,42.0,49.0,99.0,28.0,33.0,67.0,25.0,48.0,46.0,1.97,1.93,1.77,3.42,3.51,3.05,4.2,4.5,4.81,8.86,8.46,9.18,8.34,8.33,7.02,1.66,2.21,2.1,1X8m4,2015-10-05,2001-10-30
306,CnvfB,Onder 15,2e meting,186.4,138.2,89.7,96.7,66.3,1.84,23.0,17.0,7.0,66.0,45.0,61.0,102.0,27.0,27.0,50.0,26.0,45.0,39.0,1.9,1.69,2.0,3.08,3.19,3.18,4.18,4.58,4.56,7.96,8.09,8.34,8.66,9.32,8.86,2.03,1.94,2.12,1X8m4,2016-04-05,2001-10-30
307,CnvfB,Onder 16,1e meting,186.6,138.6,89.5,97.1,66.4,2.17,25.0,19.0,21.0,61.0,53.0,57.0,92.0,38.0,33.0,45.0,30.0,43.0,58.0,1.92,1.93,1.86,3.36,3.51,3.05,4.44,4.26,4.59,7.91,8.64,9.73,8.62,8.56,7.98,1.9,1.88,1.5,1X8m4,2016-10-05,2001-10-30
308,CnvfB,Onder 16,2e meting,187.8,140.2,89.2,98.7,66.6,2.66,25.0,19.0,16.0,65.0,51.0,60.0,144.0,28.0,36.0,50.0,42.0,25.0,51.0,1.92,1.97,1.91,3.34,3.04,2.9,4.41,4.41,4.16,7.52,8.49,6.84,7.78,8.37,9.5,2.05,2.18,2.08,1X8m4,2017-04-05,2001-10-30
309,CnvfB,Onder 17,1e meting,188.6,141.0,89.1,99.5,66.2,3.05,25.0,24.0,14.0,48.0,64.0,49.0,97.0,29.0,33.0,68.0,20.0,48.0,85.0,1.77,1.93,1.88,3.35,3.09,3.32,4.31,4.34,4.18,8.11,8.23,7.44,7.67,9.09,8.34,2.11,2.22,1.84,1X8m4,2017-10-05,2001-10-30
310,CnvfB,Onder 17,2e meting,189.9,142.4,89.0,100.9,64.9,3.51,26.0,13.0,20.0,74.0,58.0,56.0,125.0,32.0,32.0,50.0,47.0,37.0,49.0,1.87,2.08,1.8,3.6,3.13,3.1,4.37,4.54,4.16,8.05,7.85,8.04,8.09,7.46,8.27,1.99,2.04,2.09,1X8m4,2018-04-05,2001-10-30
311,CP7Na,Onder 13,1e meting,161.8,121.8,81.5,80.3,41.4,-1.46,25.0,15.0,4.0,55.0,48.0,40.0,123.0,22.0,30.0,58.0,38.0,22.0,77.0,2.09,2.09,1.59,3.59,3.54,3.28,5.19,5.36,4.75,9.07,8.6,9.75,9.37,8.43,8.45,2.02,1.71,1.95,1X8m4,2013-10-05,2001-07-22
312,CP7Na,Onder 13,2e meting,163.4,123.3,81.6,81.8,44.5,-1.03,23.0,28.0,2.0,53.0,54.0,51.0,127.0,31.0,28.0,36.0,25.0,33.0,26.0,2.23,2.0,2.11,3.6,3.31,3.75,5.06,5.07,4.75,8.56,8.81,8.87,9.17,8.89,8.1,2.25,1.58,1.62,1X8m4,2014-04-05,2001-07-22
313,CP7Na,Onder 14,1e meting,164.1,124.6,81.0,83.1,47.9,-0.61,22.0,14.0,18.0,55.0,52.0,54.0,112.0,28.0,29.0,69.0,29.0,31.0,64.0,2.09,1.96,2.03,3.06,3.23,3.52,5.26,4.8,5.57,8.97,8.87,8.34,8.17,8.14,7.97,1.98,1.63,1.54,1X8m4,2014-10-05,2001-07-22
314,CP7Na,Onder 14,2e meting,165.7,125.0,82.2,83.5,48.9,-0.32,24.0,26.0,12.0,76.0,41.0,50.0,119.0,23.0,28.0,54.0,43.0,24.0,81.0,1.98,1.69,2.17,3.63,3.71,3.44,5.26,4.55,4.76,9.06,8.8,9.02,9.15,7.81,8.3,2.03,1.92,1.94,1X8m4,2015-04-05,2001-07-22
315,CP7Na,Onder 15,1e meting,166.0,126.7,80.8,85.2,49.4,0.13,23.0,23.0,14.0,41.0,48.0,61.0,103.0,30.0,26.0,60.0,27.0,34.0,55.0,2.3,1.79,2.06,3.31,3.59,3.4,4.51,4.14,4.8,8.05,8.58,8.38,8.2,8.42,7.58,2.03,2.12,1.94,1X8m4,2015-10-05,2001-07-22
316,CP7Na,Onder 15,2e meting,167.7,127.0,82.2,85.5,47.9,0.39,25.0,25.0,11.0,53.0,53.0,47.0,98.0,34.0,33.0,55.0,42.0,30.0,65.0,1.93,1.63,2.08,3.46,3.52,3.37,4.88,4.48,4.45,8.45,8.72,8.72,8.5,8.45,9.05,1.98,2.11,2.1,1X8m4,2016-04-05,2001-07-22
317,CP7Na,Onder 16,1e meting,168.6,128.2,81.9,86.7,49.3,0.8,27.0,22.0,17.0,34.0,63.0,61.0,68.0,35.0,32.0,29.0,34.0,34.0,87.0,1.81,1.94,1.72,3.32,3.27,3.36,4.06,4.81,4.6,8.31,8.73,7.91,8.0,8.38,8.63,2.04,1.86,2.0,1X8m4,2016-10-05,2001-07-22
318,CP7Na,Onder 16,2e meting,169.3,128.9,81.9,87.4,47.9,1.11,26.0,19.0,13.0,50.0,49.0,50.0,132.0,22.0,22.0,52.0,38.0,44.0,84.0,1.71,1.9,1.74,3.33,3.37,3.31,4.04,4.76,4.07,7.53,8.45,8.45,8.25,8.04,6.7,2.33,1.87,1.7,1X8m4,2017-04-05,2001-07-22
319,CP7Na,Onder 17,1e meting,169.9,130.0,81.4,88.5,47.8,1.52,26.0,18.0,26.0,69.0,40.0,72.0,145.0,31.0,36.0,78.0,32.0,41.0,54.0,2.05,1.84,1.75,3.27,3.08,3.17,4.23,4.36,4.15,8.37,8.61,7.53,7.97,8.12,7.13,1.92,2.23,2.13,1X8m4,2017-10-05,2001-07-22
320,CP7Na,Onder 17,2e meting,171.4,130.9,82.0,89.4,48.4,1.89,31.0,21.0,16.0,72.0,39.0,50.0,100.0,23.0,34.0,61.0,29.0,42.0,74.0,1.93,2.06,1.84,3.34,3.03,2.92,4.5,4.21,3.72,7.57,8.29,7.98,8.6,7.66,8.51,2.25,2.12,2.37,1X8m4,2018-04-05,2001-07-22
321,CSIjf,Onder 13,1e meting,180.1,133.9,87.7,92.4,71.2,0.3,21.0,11.0,14.0,49.0,59.0,50.0,63.0,23.0,28.0,44.0,29.0,34.0,58.0,2.26,1.9,2.01,3.41,4.1,3.21,4.7,5.09,5.89,8.26,8.46,9.76,8.3,8.7,9.46,1.67,1.6,1.73,1X8m4,2013-10-05,2001-05-26
322,CSIjf,Onder 13,2e meting,182.0,135.1,88.4,93.6,74.6,0.74,21.0,20.0,23.0,45.0,54.0,57.0,104.0,34.0,34.0,67.0,26.0,29.0,56.0,2.17,2.26,1.88,3.48,3.42,3.52,5.12,5.07,4.29,9.64,9.01,8.25,8.73,8.64,8.89,1.78,1.99,1.68,1X8m4,2014-04-05,2001-05-26
323,CSIjf,Onder 14,1e meting,182.7,136.0,88.2,94.5,78.9,1.16,21.0,19.0,9.0,83.0,46.0,57.0,102.0,31.0,26.0,67.0,35.0,16.0,69.0,2.01,2.0,1.88,3.2,3.65,3.29,4.51,4.73,4.73,8.63,8.5,9.11,8.8,8.85,8.6,1.94,2.11,1.86,1X8m4,2014-10-05,2001-05-26
324,CSIjf,Onder 14,2e meting,184.0,137.7,87.8,96.2,78.5,1.63,16.0,23.0,20.0,52.0,62.0,59.0,108.0,30.0,31.0,66.0,25.0,37.0,37.0,2.26,1.8,1.92,3.36,3.3,3.54,4.86,4.26,5.07,8.47,8.85,8.63,8.68,7.93,8.66,1.81,2.1,2.08,1X8m4,2015-04-05,2001-05-26
325,CSIjf,Onder 15,1e meting,185.0,138.1,88.5,96.6,77.7,1.94,15.0,22.0,17.0,35.0,44.0,62.0,115.0,31.0,33.0,55.0,35.0,34.0,76.0,1.96,1.94,2.18,3.57,3.34,3.22,5.14,4.33,4.33,8.75,9.08,7.57,9.11,7.71,8.14,2.0,1.94,2.07,1X8m4,2015-10-05,2001-05-26
326,CSIjf,Onder 15,2e meting,185.4,139.4,87.6,97.9,77.4,2.38,23.0,20.0,7.0,52.0,43.0,60.0,116.0,29.0,30.0,54.0,21.0,31.0,71.0,1.8,1.92,1.9,3.0,3.22,3.56,4.38,4.65,4.57,8.14,7.78,8.9,8.49,8.88,8.02,1.71,1.82,2.16,1X8m4,2016-04-05,2001-05-26
327,CSIjf,Onder 16,1e meting,186.3,140.6,87.2,99.1,79.2,2.84,17.0,24.0,14.0,61.0,59.0,63.0,108.0,33.0,42.0,59.0,35.0,35.0,43.0,1.83,2.07,1.65,3.48,3.15,3.18,4.72,4.48,4.51,8.14,8.6,7.59,8.75,7.9,8.74,2.15,2.43,2.05,1X8m4,2016-10-05,2001-05-26
328,CSIjf,Onder 16,2e meting,187.8,141.0,88.3,99.5,78.5,3.16,23.0,23.0,10.0,59.0,53.0,58.0,104.0,29.0,28.0,69.0,33.0,45.0,54.0,1.99,1.81,1.93,3.41,2.86,3.5,4.41,4.45,4.03,7.44,8.09,7.85,8.59,7.75,6.33,2.18,2.14,2.37,1X8m4,2017-04-05,2001-05-26
329,CSIjf,Onder 17,1e meting,188.1,142.1,87.5,100.6,78.6,3.6,30.0,16.0,10.0,68.0,56.0,51.0,100.0,33.0,27.0,68.0,40.0,36.0,70.0,1.86,1.89,1.87,3.0,3.09,3.29,4.12,4.18,4.2,8.78,7.74,8.11,8.44,8.07,8.56,2.01,2.06,2.23,1X8m4,2017-10-05,2001-05-26
330,CSIjf,Onder 17,2e meting,189.6,143.8,87.3,102.3,78.8,4.13,15.0,24.0,3.0,58.0,41.0,56.0,117.0,29.0,40.0,53.0,43.0,37.0,46.0,1.67,2.02,1.95,3.2,3.3,3.01,4.19,4.33,4.17,8.47,8.41,7.86,7.32,8.27,8.19,2.53,2.32,2.19,1X8m4,2018-04-05,2001-05-26
331,e5yKF,Onder 13,1e meting,172.9,131.2,83.2,89.7,77.9,0.03,20.0,20.0,13.0,52.0,50.0,52.0,103.0,22.0,28.0,43.0,22.0,30.0,54.0,2.1,1.98,1.71,3.48,3.55,3.69,4.69,5.07,4.88,8.85,8.79,7.64,8.78,9.18,8.27,1.67,1.78,1.81,1X8m4,2013-10-05,2001-07-25
332,e5yKF,Onder 13,2e meting,174.0,132.6,82.9,91.1,81.8,0.48,15.0,24.0,21.0,60.0,55.0,52.0,101.0,27.0,21.0,55.0,28.0,30.0,65.0,1.99,2.1,2.12,3.32,3.33,3.65,5.16,5.43,4.51,8.88,8.38,8.88,9.01,8.58,9.32,1.86,1.9,1.65,1X8m4,2014-04-05,2001-07-25
333,e5yKF,Onder 14,1e meting,175.3,134.0,82.7,92.5,84.4,0.93,27.0,21.0,10.0,44.0,46.0,53.0,128.0,37.0,33.0,56.0,26.0,26.0,51.0,2.03,2.09,1.89,3.41,3.83,3.63,5.02,4.58,4.68,8.95,8.3,8.44,9.36,8.91,8.82,1.76,1.8,1.89,1X8m4,2014-10-05,2001-07-25
334,e5yKF,Onder 14,2e meting,176.6,135.1,83.0,93.6,85.7,1.34,19.0,20.0,5.0,69.0,60.0,66.0,107.0,25.0,21.0,56.0,34.0,43.0,80.0,2.07,2.26,1.83,3.48,3.43,3.23,5.15,4.36,5.32,9.11,9.06,8.38,9.01,8.66,8.46,1.54,1.82,1.84,1X8m4,2015-04-05,2001-07-25
335,e5yKF,Onder 15,1e meting,177.3,135.3,83.5,93.8,85.7,1.63,24.0,21.0,11.0,60.0,52.0,45.0,103.0,33.0,37.0,62.0,38.0,33.0,65.0,2.05,1.96,1.98,3.52,3.45,3.13,4.88,5.07,4.68,8.38,8.91,8.86,8.62,7.94,8.48,2.38,1.61,1.6,1X8m4,2015-10-05,2001-07-25
336,e5yKF,Onder 15,2e meting,178.6,136.4,83.7,94.9,85.2,2.03,26.0,23.0,11.0,49.0,53.0,64.0,122.0,34.0,39.0,48.0,42.0,32.0,77.0,1.98,2.09,2.04,3.34,3.22,3.27,4.16,5.02,4.78,8.56,8.62,6.52,8.75,8.05,9.71,2.18,1.84,2.17,1X8m4,2016-04-05,2001-07-25
337,e5yKF,Onder 16,1e meting,179.7,137.2,84.0,95.7,85.6,2.41,29.0,17.0,18.0,60.0,63.0,59.0,111.0,28.0,32.0,56.0,40.0,38.0,77.0,2.04,2.0,1.83,3.34,3.37,2.82,4.59,4.81,4.73,7.87,8.15,9.98,8.0,7.58,9.49,2.04,2.05,2.04,1X8m4,2016-10-05,2001-07-25
338,e5yKF,Onder 16,2e meting,180.6,139.1,83.0,97.6,85.7,2.94,20.0,19.0,27.0,64.0,52.0,52.0,98.0,29.0,30.0,56.0,39.0,23.0,68.0,1.97,1.95,1.74,3.17,3.2,3.43,4.06,4.42,4.38,8.1,7.9,8.55,7.75,7.83,6.67,2.2,2.34,2.54,1X8m4,2017-04-05,2001-07-25
339,e5yKF,Onder 17,1e meting,181.3,139.4,83.4,97.9,84.1,3.24,30.0,24.0,18.0,62.0,62.0,48.0,108.0,26.0,39.0,70.0,39.0,30.0,90.0,1.97,1.84,1.92,3.0,3.25,3.07,4.47,4.32,4.37,7.58,7.83,7.62,8.38,7.22,7.83,2.11,1.95,2.32,1X8m4,2017-10-05,2001-07-25
340,e5yKF,Onder 17,2e meting,182.9,140.3,84.1,98.8,84.9,3.65,27.0,19.0,33.0,54.0,56.0,62.0,107.0,34.0,34.0,65.0,29.0,34.0,86.0,1.78,1.8,1.89,3.52,3.46,3.22,4.8,4.45,3.85,8.81,6.87,8.94,8.18,7.23,8.34,2.22,2.39,2.5,1X8m4,2018-04-05,2001-07-25
341,eBnKQ,Onder 13,1e meting,182.6,134.1,90.0,92.6,69.8,0.08,22.0,17.0,10.0,33.0,46.0,38.0,67.0,22.0,29.0,73.0,25.0,24.0,63.0,2.33,1.98,1.52,3.3,3.74,3.31,4.98,5.07,5.12,9.35,9.38,9.5,8.05,8.75,7.34,1.66,1.65,1.86,1X8m4,2013-10-05,2001-10-31
342,eBnKQ,Onder 13,2e meting,184.4,135.3,90.6,93.8,73.4,0.52,22.0,20.0,18.0,61.0,50.0,44.0,96.0,36.0,31.0,42.0,25.0,26.0,45.0,2.27,2.07,2.0,3.3,3.51,3.53,5.01,4.73,4.78,9.22,8.88,8.56,9.24,9.38,8.98,1.64,1.96,1.81,1X8m4,2014-04-05,2001-10-31
343,eBnKQ,Onder 14,1e meting,185.5,136.4,90.6,94.9,76.1,0.94,26.0,17.0,17.0,49.0,54.0,64.0,101.0,23.0,38.0,64.0,38.0,34.0,61.0,2.01,1.95,1.77,3.47,3.02,3.22,5.03,4.94,4.55,8.64,9.41,8.83,8.16,8.29,8.53,1.91,1.85,2.08,1X8m4,2014-10-05,2001-10-31
344,eBnKQ,Onder 14,2e meting,186.5,137.2,90.8,95.7,76.6,1.3,23.0,22.0,18.0,59.0,48.0,58.0,96.0,26.0,25.0,52.0,36.0,32.0,67.0,2.01,1.93,2.02,3.55,3.35,3.37,4.63,5.15,5.56,8.94,9.18,8.42,8.3,8.04,8.29,1.89,2.36,1.71,1X8m4,2015-04-05,2001-10-31
345,eBnKQ,Onder 15,1e meting,187.4,138.3,90.5,96.8,76.1,1.7,15.0,14.0,21.0,33.0,56.0,49.0,92.0,29.0,26.0,70.0,23.0,45.0,65.0,1.89,1.74,1.92,3.49,3.38,3.16,4.05,4.86,4.66,8.16,8.52,8.24,8.12,9.02,7.43,2.03,2.23,2.16,1X8m4,2015-10-05,2001-10-31
346,eBnKQ,Onder 15,2e meting,188.2,139.4,90.4,97.9,75.8,2.11,30.0,23.0,14.0,33.0,57.0,60.0,107.0,35.0,36.0,61.0,32.0,50.0,44.0,1.9,1.73,1.69,2.99,3.49,3.54,4.67,4.36,4.26,8.2,7.7,8.05,8.06,8.3,9.01,2.05,1.76,1.65,1X8m4,2016-04-05,2001-10-31
347,eBnKQ,Onder 16,1e meting,189.0,141.1,89.4,99.6,76.4,2.61,28.0,31.0,23.0,67.0,61.0,47.0,136.0,30.0,31.0,69.0,44.0,39.0,58.0,1.75,1.91,1.68,3.29,3.03,3.34,4.53,4.47,3.97,8.09,8.51,8.78,7.62,8.21,7.65,2.11,2.19,2.17,1X8m4,2016-10-05,2001-10-31
348,eBnKQ,Onder 16,2e meting,190.5,141.5,90.5,100.0,77.3,2.96,20.0,17.0,14.0,41.0,61.0,45.0,82.0,28.0,30.0,74.0,48.0,41.0,72.0,2.0,1.85,1.96,3.39,3.14,3.41,4.49,4.7,4.59,8.29,8.46,8.33,8.27,8.61,7.56,1.59,2.06,2.24,1X8m4,2017-04-05,2001-10-31
349,eBnKQ,Onder 17,1e meting,191.2,142.4,90.3,100.9,76.0,3.35,24.0,28.0,15.0,40.0,57.0,55.0,101.0,23.0,41.0,67.0,22.0,16.0,70.0,1.76,1.88,1.83,3.44,3.47,3.22,4.5,4.59,4.92,8.07,7.76,8.45,8.45,8.12,7.74,2.22,1.76,1.94,1X8m4,2017-10-05,2001-10-31
350,eBnKQ,Onder 17,2e meting,191.7,143.5,89.6,102.0,77.3,3.81,15.0,25.0,20.0,44.0,48.0,59.0,98.0,34.0,27.0,60.0,17.0,41.0,85.0,2.15,1.88,1.87,3.22,3.43,3.17,4.58,4.31,4.76,9.0,8.32,8.66,8.38,7.97,7.78,2.19,1.81,2.23,1X8m4,2018-04-05,2001-10-31
351,ELqiM,Onder 13,1e meting,151.0,115.4,77.1,73.9,38.3,-2.28,19.0,25.0,10.0,64.0,48.0,58.0,126.0,26.0,26.0,58.0,26.0,25.0,64.0,2.03,2.12,1.8,3.7,3.73,3.1,4.72,4.88,5.16,9.31,8.84,8.56,8.95,9.13,9.42,1.55,2.01,1.45,1X8m4,2013-10-05,2001-10-27
352,ELqiM,Onder 13,2e meting,152.3,116.7,77.1,75.2,42.2,-1.88,21.0,23.0,13.0,84.0,54.0,41.0,80.0,33.0,29.0,49.0,32.0,26.0,63.0,2.22,2.06,2.02,3.4,3.46,3.78,5.15,4.79,5.47,8.7,8.71,9.0,9.11,8.62,8.07,1.95,1.91,1.89,1X8m4,2014-04-05,2001-10-27
353,ELqiM,Onder 14,1e meting,153.2,118.3,76.4,76.8,45.3,-1.44,22.0,12.0,20.0,47.0,43.0,47.0,117.0,21.0,32.0,64.0,26.0,41.0,88.0,1.82,2.18,1.76,3.64,3.42,3.6,4.84,4.78,4.74,8.8,8.66,8.7,8.36,9.61,8.52,1.81,1.88,1.93,1X8m4,2014-10-05,2001-10-27
354,ELqiM,Onder 14,2e meting,154.9,118.6,77.9,77.1,45.8,-1.2,25.0,17.0,16.0,63.0,44.0,55.0,109.0,31.0,32.0,62.0,23.0,31.0,90.0,2.33,2.1,2.01,3.5,3.34,3.37,5.14,4.78,4.84,8.88,9.2,8.25,8.37,8.51,8.51,1.86,1.74,2.31,1X8m4,2015-04-05,2001-10-27
355,ELqiM,Onder 15,1e meting,155.7,119.9,77.2,78.4,44.5,-0.85,24.0,17.0,22.0,45.0,67.0,62.0,98.0,28.0,38.0,54.0,30.0,40.0,63.0,2.09,1.82,2.04,3.21,3.35,3.33,4.76,4.94,4.67,8.33,8.72,8.97,8.73,8.55,9.1,1.76,1.91,1.88,1X8m4,2015-10-05,2001-10-27
356,ELqiM,Onder 15,2e meting,156.8,121.3,77.0,79.8,44.8,-0.45,21.0,21.0,13.0,81.0,49.0,50.0,113.0,31.0,26.0,71.0,37.0,36.0,54.0,1.89,1.9,1.7,3.31,3.34,3.4,4.36,4.5,4.46,7.98,7.83,8.38,8.68,8.11,8.59,2.04,2.28,1.83,1X8m4,2016-04-05,2001-10-27
357,ELqiM,Onder 16,1e meting,157.5,122.2,76.8,80.7,45.5,-0.1,23.0,17.0,13.0,63.0,54.0,54.0,107.0,31.0,32.0,50.0,26.0,40.0,61.0,1.95,1.95,1.73,3.21,3.41,3.08,4.31,4.26,5.23,8.69,8.37,8.79,8.8,7.41,8.41,2.12,1.99,1.97,1X8m4,2016-10-05,2001-10-27
358,ELqiM,Onder 16,2e meting,158.9,122.8,77.6,81.3,45.9,0.2,27.0,21.0,12.0,52.0,55.0,53.0,126.0,23.0,29.0,61.0,28.0,26.0,38.0,2.07,1.75,1.45,3.23,3.09,3.1,4.63,4.11,3.14,8.62,7.84,7.3,7.99,8.16,8.18,2.13,2.09,2.39,1X8m4,2017-04-05,2001-10-27
359,ELqiM,Onder 17,1e meting,159.0,123.8,76.7,82.3,45.7,0.57,20.0,22.0,17.0,45.0,46.0,47.0,137.0,28.0,35.0,71.0,49.0,42.0,59.0,1.76,1.83,1.92,3.53,3.28,3.13,4.21,4.35,4.14,8.22,7.95,7.17,7.63,7.89,7.57,2.01,2.49,2.29,1X8m4,2017-10-05,2001-10-27
360,ELqiM,Onder 17,2e meting,160.0,124.8,76.8,83.3,44.9,0.92,20.0,16.0,9.0,75.0,51.0,61.0,116.0,35.0,40.0,55.0,46.0,27.0,51.0,1.59,2.0,1.88,3.38,3.25,2.86,4.62,4.59,4.22,8.36,8.9,8.72,8.5,8.77,7.78,2.35,2.4,2.03,1X8m4,2018-04-05,2001-10-27
361,f4NRy,Onder 13,1e meting,144.9,114.2,72.2,72.7,40.0,-2.42,27.0,21.0,3.0,57.0,45.0,49.0,130.0,29.0,24.0,64.0,24.0,35.0,42.0,2.27,2.0,2.09,3.24,3.61,3.74,5.1,5.8,5.84,8.24,8.64,10.16,8.29,9.14,8.95,1.55,1.66,1.8,1X8m4,2013-10-05,2001-12-31
362,f4NRy,Onder 13,2e meting,146.8,115.4,72.9,73.9,44.1,-2.04,25.0,15.0,5.0,40.0,52.0,41.0,63.0,19.0,35.0,54.0,28.0,33.0,72.0,1.96,1.97,1.73,3.59,3.83,3.61,4.87,4.85,5.14,8.66,7.76,9.47,9.1,8.71,9.14,1.76,1.62,1.78,1X8m4,2014-04-05,2001-12-31
363,f4NRy,Onder 14,1e meting,147.4,116.5,72.4,75.0,47.0,-1.67,23.0,12.0,5.0,68.0,33.0,44.0,114.0,30.0,36.0,63.0,26.0,34.0,52.0,1.87,1.87,1.95,3.48,3.35,3.41,4.88,5.34,4.62,8.19,8.2,8.81,8.76,8.27,8.74,1.78,1.97,1.81,1X8m4,2014-10-05,2001-12-31
364,f4NRy,Onder 14,2e meting,148.3,117.4,72.5,75.9,46.8,-1.36,18.0,23.0,14.0,49.0,53.0,48.0,112.0,22.0,27.0,65.0,27.0,34.0,86.0,2.1,2.01,2.1,3.68,3.54,3.26,5.27,5.21,4.41,8.87,8.83,8.5,9.03,8.77,8.76,2.06,1.76,1.83,1X8m4,2015-04-05,2001-12-31
365,f4NRy,Onder 15,1e meting,149.0,118.9,71.7,77.4,46.8,-0.97,23.0,14.0,15.0,42.0,48.0,55.0,102.0,32.0,24.0,60.0,31.0,38.0,80.0,1.91,2.11,2.09,3.69,3.43,3.27,4.41,4.45,4.48,8.45,7.68,8.67,7.86,8.21,7.98,1.95,1.82,2.03,1X8m4,2015-10-05,2001-12-31
366,f4NRy,Onder 15,2e meting,150.1,119.2,72.4,77.7,47.3,-0.71,20.0,21.0,15.0,50.0,47.0,59.0,98.0,28.0,41.0,59.0,35.0,36.0,61.0,2.16,1.82,1.76,3.27,3.33,3.57,4.59,4.39,4.31,8.64,8.45,8.95,8.51,8.99,8.19,1.85,1.98,2.03,1X8m4,2016-04-05,2001-12-31
367,f4NRy,Onder 16,1e meting,151.2,120.3,72.4,78.8,46.9,-0.36,22.0,16.0,18.0,59.0,56.0,49.0,92.0,36.0,29.0,67.0,36.0,31.0,61.0,2.04,1.92,1.52,3.12,3.45,2.9,4.25,4.34,5.65,8.22,7.57,6.94,8.44,8.48,9.23,1.99,2.04,2.0,1X8m4,2016-10-05,2001-12-31
368,f4NRy,Onder 16,2e meting,152.0,122.0,71.4,80.5,47.4,0.09,18.0,21.0,12.0,60.0,42.0,52.0,100.0,26.0,32.0,61.0,37.0,34.0,49.0,1.98,1.77,2.17,3.11,3.36,3.24,4.24,4.43,4.76,9.05,8.07,8.29,8.38,7.89,8.42,1.96,2.09,2.02,1X8m4,2017-04-05,2001-12-31
369,f4NRy,Onder 17,1e meting,153.2,123.1,71.6,81.6,47.4,0.46,22.0,18.0,10.0,62.0,65.0,54.0,102.0,29.0,30.0,55.0,32.0,46.0,81.0,1.9,1.91,1.98,3.1,3.2,3.13,4.41,4.29,4.21,8.33,7.72,8.37,8.71,8.49,7.98,2.01,2.34,2.31,1X8m4,2017-10-05,2001-12-31
370,f4NRy,Onder 17,2e meting,154.1,123.8,71.7,82.3,47.9,0.79,17.0,20.0,18.0,51.0,65.0,56.0,112.0,36.0,31.0,54.0,41.0,45.0,81.0,1.85,1.77,1.9,3.22,3.29,3.21,4.87,4.35,4.3,9.21,8.04,8.65,8.31,7.78,7.26,2.5,2.21,2.11,1X8m4,2018-04-05,2001-12-31
